documento;apiRespondio;mensaje
FPE45279;true;"No se encontraron soportes para el valor consultado."
FPE45281;true;"No se encontraron soportes para el valor consultado."
FPE45282;true;"No se encontraron soportes para el valor consultado."
FPE45283;true;"No se encontraron soportes para el valor consultado."
FPE45284;true;"No se encontraron soportes para el valor consultado."
FPE45285;true;"No se encontraron soportes para el valor consultado."
FPE45288;true;"No se encontraron soportes para el valor consultado."
FPE45289;true;"No se encontraron soportes para el valor consultado."
FPE45291;true;"No se encontraron soportes para el valor consultado."
FPE45292;true;"No se encontraron soportes para el valor consultado."
FPE45293;true;"No se encontraron soportes para el valor consultado."
FPE45296;true;"No se encontraron soportes para el valor consultado."
FPE45297;true;"No se encontraron soportes para el valor consultado."
FPE45300;true;"No se encontraron soportes para el valor consultado."
FPE45302;true;"No se encontraron soportes para el valor consultado."
FPE45304;true;"No se encontraron soportes para el valor consultado."
FPE45305;true;"No se encontraron soportes para el valor consultado."
FPE45307;true;"No se encontraron soportes para el valor consultado."
FPE45310;true;"No se encontraron soportes para el valor consultado."
FPE45311;true;"No se encontraron soportes para el valor consultado."
FPE45312;true;"No se encontraron soportes para el valor consultado."
FPE45315;true;"No se encontraron soportes para el valor consultado."
FPE45316;true;"No se encontraron soportes para el valor consultado."
FPE45317;true;"No se encontraron soportes para el valor consultado."
FPE45318;true;"No se encontraron soportes para el valor consultado."
FPE45319;true;"No se encontraron soportes para el valor consultado."
FPE45321;true;"No se encontraron soportes para el valor consultado."
FPE45324;true;"No se encontraron soportes para el valor consultado."
FPE45323;true;"No se encontraron soportes para el valor consultado."
FPE45325;true;"No se encontraron soportes para el valor consultado."
FPE45327;true;"No se encontraron soportes para el valor consultado."
FPE45329;true;"No se encontraron soportes para el valor consultado."
FPE45331;true;"No se encontraron soportes para el valor consultado."
FPE45332;true;"No se encontraron soportes para el valor consultado."
FPE45334;true;"No se encontraron soportes para el valor consultado."
FPE45335;true;"No se encontraron soportes para el valor consultado."
FPE45338;true;"No se encontraron soportes para el valor consultado."
FPE45339;true;"No se encontraron soportes para el valor consultado."
FPE45344;true;"No se encontraron soportes para el valor consultado."
FPE45346;true;"No se encontraron soportes para el valor consultado."
FPE45349;true;"No se encontraron soportes para el valor consultado."
FPE45350;true;"No se encontraron soportes para el valor consultado."
FPE45351;true;"No se encontraron soportes para el valor consultado."
FPE45352;true;"No se encontraron soportes para el valor consultado."
FPE45353;true;"No se encontraron soportes para el valor consultado."
FPE45355;true;"No se encontraron soportes para el valor consultado."
FPE45356;true;"No se encontraron soportes para el valor consultado."
FPE45358;true;"No se encontraron soportes para el valor consultado."
FPE45360;true;"No se encontraron soportes para el valor consultado."
FPE45361;true;"No se encontraron soportes para el valor consultado."
FPE45363;true;"No se encontraron soportes para el valor consultado."
FPE45364;true;"No se encontraron soportes para el valor consultado."
FPE45366;true;"No se encontraron soportes para el valor consultado."
FPE45368;true;"No se encontraron soportes para el valor consultado."
FPE45369;true;"No se encontraron soportes para el valor consultado."
FPE45370;true;"No se encontraron soportes para el valor consultado."
FPE45371;true;"No se encontraron soportes para el valor consultado."
FPE45375;true;"No se encontraron soportes para el valor consultado."
FPE45376;true;"No se encontraron soportes para el valor consultado."
FPE45377;true;"No se encontraron soportes para el valor consultado."
FPE45380;true;"No se encontraron soportes para el valor consultado."
FPE45385;true;"No se encontraron soportes para el valor consultado."
FPE45383;true;"No se encontraron soportes para el valor consultado."
FPE45386;true;"No se encontraron soportes para el valor consultado."
FPE45387;true;"No se encontraron soportes para el valor consultado."
FPE45392;true;"No se encontraron soportes para el valor consultado."
FPE45391;true;"No se encontraron soportes para el valor consultado."
FPE45394;true;"No se encontraron soportes para el valor consultado."
FPE45395;true;"No se encontraron soportes para el valor consultado."
FPE45397;true;"No se encontraron soportes para el valor consultado."
FPE45399;true;"No se encontraron soportes para el valor consultado."
FPE45400;true;"No se encontraron soportes para el valor consultado."
FPE45401;true;"No se encontraron soportes para el valor consultado."
